"RID","Zkrác. název VŠ","Název organizace","Obec","Ulice","č.p.","WWW"
"11000","UK v Praze","Univerzita Karlova","Praha 1","Ovocný trh 5","","www.cuni.cz"
"11110","UK v Praze","1. lékařská fakulta","Praha 2","Kateřinská 32","","www.lf1.cuni.cz"
"11120","UK v Praze","3. lékařská fakulta","Praha 10","Ruská 87","","www.lf3.cuni.cz"
"11130","UK v Praze","2. lékařská fakulta","Praha 5 - Motol","V úvalu 84","","www.lf2.cuni.cz"
"11140","UK v Praze","Lékařská fakulta v Plzni","Plzeň","Husova 3","","www.lfp.cuni.cz"
"11150","UK v Praze","Lékařská fakulta v Hradci  Králové","Hradec Králové","Šimkova 870","","www.lfhk.cuni.cz"
"11160","UK v Praze","Farmaceutická fakulta v Hradci  Králové","Hradec Králové","Heyrovského 1203","","www.faf.cuni.cz"
"11210","UK v Praze","Filozofická fakulta","Praha 1","nám. J. Palacha 2","","www.ff.cuni.cz"
"11220","UK v Praze","Právnická fakulta","Praha 1","nám. Curieových 7","","www.prf.cuni.cz"
"11230","UK v Praze","Fakulta sociálních věd","Praha 1","Smetanovo nábřeží 6","","fsv.cuni.cz"
"11240","UK v Praze","Fakulta humanitních studií","Praha 5 - Jinonice","U Kříže 4-10","","www.fhs.cuni.cz"
"11260","UK v Praze","Katolická teologická fakulta","Praha 6 - Dejvice","Thákurova 3","676","www.ktf.cuni.cz"
"11270","UK v Praze","Evangelická teologická fakulta","Praha 1","Černá 9","","www.etf.cuni.cz"
"11280","UK v Praze","Husitská teologická fakulta","Praha 4 - Krč","Pacovská 350","","www.htf.cuni.cz"
"11310","UK v Praze","Přírodovědecká fakulta","Praha 2","Albertov 6","","www.natur.cuni.cz"
"11320","UK v Praze","Matematicko-fyzikální fakulta","Praha 2","Ke Karlovu 3","","www.mff.cuni.cz/iso"
"11410","UK v Praze","Pedagogická fakulta","Praha 1","M. D. Rettigové 4","","www.pedf.cuni.cz"
"11510","UK v Praze","Fakulta tělesné výchovy a sportu","Praha 6 - Veleslavín","José Martího 31","","www.ftvs.cuni.cz"
"12000","JU v Českých Budějovicích","Jihočeská univerzita v Českých Budějovicích","České Budějovice","Branišovská 31","","www.jcu.cz"
"12110","JU v Českých Budějovicích","Zdravotně sociální fakulta","České Budějovice","Jírovcova 24","","www.zsf.jcu.cz"
"12210","JU v Českých Budějovicích","Filozofická fakulta","České Budějovice","Branišovská 31a","","www.jcu.cz"
"12220","JU v Českých Budějovicích","Zemědělská fakulta","České Budějovice","Studentská 13","","www.zf.jcu.cz"
"12260","JU v Českých Budějovicích","Teologická fakulta","České Budějovice","Kněžská 8","","www.tf.jcu.cz"
"12310","JU v Českých Budějovicích","Přírodovědecká fakulta","České Budějovice","Branišovská 31","","www.bf.jcu.cz"
"12410","JU v Českých Budějovicích","Pedagogická fakulta","České Budějovice","Jeronýmova 10","","www.pf.jcu.cz"
"12510","JU v Českých Budějovicích","Ekonomická fakulta","České Budějovice","Studentská 13","","www.ef.jcu.cz"
"12520","JU v Českých Budějovicích","Fakulta rybářství a ochrany vod","Vodňany","Zátiší 728/II","","www.frov.jcu.cz"
"13000","UJEP v Ústí nad Labem","Univerzita J. E. Purkyně v Ústí nad Labem","Ústí nad Labem","Pasteurova 1","","www.ujep.cz"
"13410","UJEP v Ústí nad Labem","Filozofická fakulta","Ústí nad Labem","České mládeže 8","","ff.ujep.cz"
