Rok,RID,NAZEV,přihlášek,"""živých"" přihlášek",přihlášených,"""živých"" přihlášených",přijetí,přijatých,zápisů,zapsaných
2001,0,všechny veřejné a soukromé VŠ,80620,65880,56655,48658,24911,22059,19277,18580
2001,11000,Univerzita Karlova v Praze,8188,6899,7065,6036,1858,1744,1599,1544
2001,11110,1. lékařská fakulta,341,261,341,261,129,129,129,129
2001,11120,3. lékařská fakulta,700,537,690,529,114,113,100,99
2001,11130,2. lékařská fakulta,364,284,362,283,58,57,58,57
2001,11140,Lékařská fakulta Plzeň,445,398,445,398,72,72,67,67
2001,11150,Lékařská fakulta Hradec Králové,273,212,273,212,60,60,63,63
2001,11210,Filozofická fakulta,483,405,481,404,112,112,112,112
2001,11230,Fakulta sociálních věd,2608,2183,2526,2116,328,323,269,265
2001,11240,Fakulta humanitních studií,1507,1402,1481,1376,424,423,418,417
2001,11270,Evangelická teologická fakulta,166,140,165,140,82,82,75,75
2001,11280,Husitská teologická fakulta,64,59,63,58,53,52,53,52
2001,11310,Přírodovědecká fakulta,737,621,646,551,263,229,125,122
2001,11320,Matematicko-fyzikální fakulta,252,188,248,184,88,87,62,62
2001,11410,Pedagogická fakulta,248,209,248,209,75,75,68,68
2001,12000,Jihočeská univerzita v Českých Budějovicích,3392,2762,3309,2694,900,885,600,598
2001,12110,Fakulta zdravotně sociální,431,354,428,352,146,145,125,125
2001,12220,Zemědělská fakulta,701,625,695,619,193,192,111,111
2001,12260,Fakulta teologická,96,62,94,60,54,52,52,50
2001,12310,Biologická fakulta,766,559,764,558,137,137,89,89
2001,12410,Pedagogická fakulta,1398,1162,1382,1148,370,367,223,223
2001,13000,Univerzita J. E. Purkyně v Ústí nad Labem,3783,2948,3579,2793,1120,1100,801,798
2001,13430,Fakulta pedagogická,756,605,731,585,328,320,217,217
2001,13510,Fakulta sociálně ekonomická,2281,1842,2215,1783,532,531,360,360
2001,13520,Fakulta životního prostředí,234,161,234,161,110,110,81,81
2001,13530,Fakulta umění a designu,346,202,343,202,44,44,41,41
2001,13900,celoškolská pracoviště,166,138,166,138,106,106,102,102
2001,14000,Masarykova univerzita,12208,10342,11177,9519,2311,2223,1700,1672
2001,14110,Lékařská fakulta,1313,1078,1300,1068,196,196,119,119
2001,14210,Filozofická fakulta,824,708,811,697,294,291,249,247
2001,14220,Právnická fakulta,550,477,525,455,156,155,153,153
2001,14230,Fakulta sociálních studií,4912,4273,4885,4254,546,544,427,425
2001,14310,Přírodovědecká fakulta,596,511,532,454,138,126,59,56
2001,14330,Fakulta informatiky,488,438,481,431,316,309,143,143
2001,14410,Pedagogická fakulta,1365,1147,1303,1093,67,64,48,46
2001,14560,Fakulta ekonomicko-správní,2160,1710,2084,1656,598,577,502,493
2001,15000,Univerzita Palackého v Olomouci,3484,2892,3377,2821,1022,1013,844,842
2001,15110,Lékařská fakulta,784,614,778,611,117,116,99,99
2001,15210,Filozofická fakulta,971,814,955,805,326,325,285,285
2001,15260,Cyrilometodějská teologická fakulta,284,253,284,253,88,88,73,73
2001,15310,Přírodovědecká fakulta,473,387,465,383,259,257,176,176
2001,15410,Pedagogická fakulta,672,574,658,562,119,118,107,107
2001,15510,Fakulta tělesné kultury,300,250,280,237,113,112,104,103
2001,17000,Ostravská univerzita v Ostravě,3859,3206,3721,3115,888,878,676,674
2001,17110,Fakulta zdravotnických studií,800,690,769,665,199,197,161,160
2001,17250,Filozofická fakulta,1316,1001,1296,996,227,226,170,169
2001,17310,Přírodovědecká fakulta,437,339,427,332,219,215,109,109
2001,17450,Pedagogická fakulta,1306,1176,1277,1155,243,243,236,236
2001,18000,Univerzita Hradec Králové,5272,4078,4867,3826,1019,1001,722,721
2001,18440,Pedagogická fakulta,3208,2705,2892,2477,502,492,398,397
2001,18450,Fakulta informatiky a managementu,2064,1373,2006,1367,517,511,324,324
2001,19000,Slezská univerzita v Opavě,2354,1876,2268,1825,532,526,388,387
