Rok,RID VS,RID,přihlášek,"""živých"" přihlášek",přihlášených,"""živých"" přihlášených",přijetí,přijatých,zápisů,zapsaných,Výběrovost,Neúspěšných studií,Cekový počet studií,Procento neuspechu,Absolventi součet,Absolventi procento,forma,fakulta,jméno VŠ
2003,11000,11110,537,432,532,429,137,136,108,108,75.00%,28,119,23.53%,91,76.47%,veřejná,1. lékařská fakulta,Univerzita Karlova
2003,11000,11120,450,320,432,309,130,127,96,96,70.00%,27,102,26.47%,75,73.53%,veřejná,3. lékařská fakulta,Univerzita Karlova
2003,11000,11130,505,309,504,309,34,34,29,29,90.61%,7,29,24.14%,22,75.86%,veřejná,2. lékařská fakulta,Univerzita Karlova
2003,11000,11140,388,309,388,309,50,50,45,45,85.44%,7,47,14.89%,40,85.11%,veřejná,Lékařská fakulta Plzeň,Univerzita Karlova
2003,11000,11150,339,282,339,282,65,65,61,61,78.37%,8,64,12.50%,56,87.50%,veřejná,Lékařská fakulta Hradec Králové,Univerzita Karlova
2003,11000,11160,141,122,141,122,101,101,68,68,44.26%,32,75,42.67%,43,57.33%,veřejná,Farmaceutická fakulta Hradec Králové,Univerzita Karlova
2003,11000,11210,1893,1601,1814,1539,271,269,234,233,85.38%,161,348,46.26%,187,53.74%,veřejná,Filozofická fakulta,Univerzita Karlova
2003,11000,11230,2407,2063,2220,1912,434,417,350,342,83.03%,141,405,34.81%,264,65.19%,veřejná,Fakulta sociálních věd,Univerzita Karlova
2003,11000,11240,1312,1104,1310,1103,616,616,528,528,52.17%,324,560,57.86%,236,42.14%,veřejná,Fakulta humanitních studií,Univerzita Karlova
2003,11000,11260,210,177,196,166,127,126,116,115,34.46%,53,120,44.17%,67,55.83%,veřejná,Katolická teologická fakulta,Univerzita Karlova
2003,11000,11270,111,92,109,91,73,72,68,67,26.09%,15,69,21.74%,54,78.26%,veřejná,Evangelická teologická fakulta,Univerzita Karlova
2003,11000,11280,89,74,87,73,52,51,51,51,31.08%,35,55,63.64%,20,36.36%,veřejná,Husitská teologická fakulta,Univerzita Karlova
2003,11000,11310,3295,2559,2671,2012,1220,990,689,686,73.08%,244,714,34.17%,470,65.83%,veřejná,Přírodovědecká fakulta,Univerzita Karlova
2003,11000,11320,1779,1424,1668,1328,1031,954,658,643,53.79%,504,808,62.38%,304,37.62%,veřejná,Matematicko-fyzikální fakulta,Univerzita Karlova
